selector,num_episodes,avg_sr,avg_spl,avg_steps,avg_steps_per_sec,wall_time_sec,max_gpu_mem_mib
recent_k,5,0.0,0.0,269.4,11.506724710106498,122.18345189094543,16271
uniform_k,5,0.0,0.0,269.4,11.336089120747545,123.5085678100586,16271
scm,5,0.0,0.0,269.4,12.156086712791154,115.41691875457764,17493
